,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_kernel_shape,param_learning_rate,param_n_qchannels,param_qkernel_shape,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
10,656.1080801486969,1.514388341490724,288.6644872665405,1.2567649292319212,32,2,0.001,10,2,"{'batch_size': 32, 'kernel_shape': 2, 'learning_rate': 0.001, 'n_qchannels': 10, 'qkernel_shape': 2}",0.730419731717871,0.7408048463868455,0.7359307359307359,0.7298701298701299,0.7493506493506493,0.7372752186512462,0.007237609733380806,16,0.8318116066246237,0.8540534953127701,0.8464198967030452,0.8143213161332267,0.8450684884091908,0.8383349606365712,0.01397847051525079,16
11,997.511949634552,7.4649662470381175,452.6843470573425,3.697788467994508,32,2,0.001,10,3,"{'batch_size': 32, 'kernel_shape': 2, 'learning_rate': 0.001, 'n_qchannels': 10, 'qkernel_shape': 3}",0.7105149286023367,0.7165729121592385,0.729004329004329,0.712987012987013,0.7095238095238096,0.7157205984553453,0.007073268228210368,33,0.8261231756571844,0.8418824847204577,0.8388682632748024,0.8077772192893218,0.8320562926265479,0.8293414871136628,0.012089511399570228,28
12,82.38090991973877,2.9758659526064313,30.227746057510377,0.7204337890858842,32,2,0.01,1,2,"{'batch_size': 32, 'kernel_shape': 2, 'learning_rate': 0.01, 'n_qchannels': 1, 'qkernel_shape': 2}",0.7364777152747728,0.7516226741670272,0.7489177489177489,0.7086580086580087,0.7380952380952381,0.7367542770225591,0.015233477877374665,19,0.8178093150124656,0.852163568158411,0.8465380320605816,0.7985303058577078,0.8332308741113512,0.8296544190401033,0.019562853188368298,27
13,119.51423788070679,3.6632229022289406,47.77608823776245,0.9196607418053582,32,2,0.01,1,3,"{'batch_size': 32, 'kernel_shape': 2, 'learning_rate': 0.01, 'n_qchannels': 1, 'qkernel_shape': 3}",0.6880138468195587,0.7139766334919948,0.7108225108225108,0.6883116883116883,0.7095238095238096,0.7021296977939124,0.01149593325345854,45,0.7828246375373289,0.8134640395125581,0.8182400992036021,0.7844334469038001,0.8015205600669382,0.8000965566448454,0.014515906564612213,42
14,337.9166111946106,4.916091661258435,145.59244685173036,0.7615797568994561,32,2,0.01,5,2,"{'batch_size': 32, 'kernel_shape': 2, 'learning_rate': 0.01, 'n_qchannels': 5, 'qkernel_shape': 2}",0.7330160103851147,0.7438338381652964,0.7337662337662337,0.7298701298701299,0.7376623376623377,0.7356297099698225,0.004794080241075809,21,0.826827650917096,0.8564959668022343,0.8509579498323532,0.8147163547491919,0.8426373078983646,0.838327046039848,0.015478556786640101,17
15,510.8061635494232,3.2873101617150926,225.2428062438965,2.491316449984997,32,2,0.01,5,3,"{'batch_size': 32, 'kernel_shape': 2, 'learning_rate': 0.01, 'n_qchannels': 5, 'qkernel_shape': 3}",0.7066205106014712,0.735179575941151,0.7021645021645022,0.6896103896103896,0.7380952380952381,0.7143340432825503,0.019068224768416055,36,0.8130832408568585,0.8437528660888131,0.8247642560030819,0.7950366595835615,0.8272270396031854,0.8207728124271002,0.01616880088736218,33
16,660.7880997657776,1.531220984846114,289.3990359783173,1.8650009034078805,32,2,0.01,10,2,"{'batch_size': 32, 'kernel_shape': 2, 'learning_rate': 0.01, 'n_qchannels': 10, 'qkernel_shape': 2}",0.735179575941151,0.7663349199480745,0.7458874458874459,0.7294372294372294,0.7476190476190476,0.7448916437665897,0.01266023404794076,2,0.8318552134176599,0.8600330023079062,0.8435109075805277,0.8172092365295595,0.845992502543296,0.8397201724757899,0.014386957086610778,14
17,1008.4624492168426,7.651673460824646,456.27084217071535,2.215317107657026,32,2,0.01,10,3,"{'batch_size': 32, 'kernel_shape': 2, 'learning_rate': 0.01, 'n_qchannels': 10, 'qkernel_shape': 3}",0.7243617481609693,0.7256598874945911,0.7246753246753247,0.6926406926406926,0.7077922077922078,0.7150259721527571,0.013013646367830908,35,0.8253299831286821,0.8438453326918305,0.8283707704532184,0.7904451821842851,0.8151177892284632,0.8206218115372959,0.017677490769421034,34
18,84.77488689422607,2.3919807925641683,30.25092225074768,0.6929434348908676,32,3,0.0001,1,2,"{'batch_size': 32, 'kernel_shape': 3, 'learning_rate': 0.0001, 'n_qchannels': 1, 'qkernel_shape': 2}",0.7209000432713111,0.7529208135006491,0.7575757575757576,0.7376623376623377,0.7497835497835498,0.743768500358721,0.013197253954682115,4,0.8284380948943965,0.8588610069086837,0.8556675625891659,0.816147523220746,0.8419698807510099,0.8402168136728003,0.016170799526308583,13
19,120.5944200515747,3.6348083602178107,48.20973505973816,0.36398924993324483,32,3,0.0001,1,3,"{'batch_size': 32, 'kernel_shape': 3, 'learning_rate': 0.0001, 'n_qchannels': 1, 'qkernel_shape': 3}",0.6815231501514496,0.7027260926006058,0.7090909090909091,0.687012987012987,0.706060606060606,0.6972827489833116,0.010953961621261556,49,0.7690516575092401,0.7574187534299096,0.7955750407830343,0.7663391733835772,0.7732248845734786,0.7723219019358479,0.012728827273715031,53
