,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_learning_rate,param_observable_type,param_temperature,param_visible_qubits,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
10,0.1461939334869385,0.014617028531810254,0.0,0.0,32,0.001,product,1.0,half,"{'batch_size': 32, 'learning_rate': 0.001, 'observable_type': 'product', 'temperature': 1.0, 'visible_qubits': 'half'}",,,,,,,,10,,,,,,,,10
11,0.002833271026611328,0.0005024711822538467,0.0,0.0,32,0.001,product,1.0,full,"{'batch_size': 32, 'learning_rate': 0.001, 'observable_type': 'product', 'temperature': 1.0, 'visible_qubits': 'full'}",,,,,,,,10,,,,,,,,10
12,0.13641114234924318,0.0047690964419643865,0.0,0.0,32,0.001,product,10.0,single,"{'batch_size': 32, 'learning_rate': 0.001, 'observable_type': 'product', 'temperature': 10.0, 'visible_qubits': 'single'}",,,,,,,,10,,,,,,,,10
13,0.204428768157959,0.07390443760825001,0.0,0.0,32,0.001,product,10.0,half,"{'batch_size': 32, 'learning_rate': 0.001, 'observable_type': 'product', 'temperature': 10.0, 'visible_qubits': 'half'}",,,,,,,,10,,,,,,,,10
14,0.002729368209838867,0.00012773767055548633,0.0,0.0,32,0.001,product,10.0,full,"{'batch_size': 32, 'learning_rate': 0.001, 'observable_type': 'product', 'temperature': 10.0, 'visible_qubits': 'full'}",,,,,,,,10,,,,,,,,10
15,0.13674626350402833,0.004096154111742987,0.0,0.0,32,0.001,product,100.0,single,"{'batch_size': 32, 'learning_rate': 0.001, 'observable_type': 'product', 'temperature': 100.0, 'visible_qubits': 'single'}",,,,,,,,10,,,,,,,,10
16,0.13193979263305664,0.0015644342308088143,0.0,0.0,32,0.001,product,100.0,half,"{'batch_size': 32, 'learning_rate': 0.001, 'observable_type': 'product', 'temperature': 100.0, 'visible_qubits': 'half'}",,,,,,,,10,,,,,,,,10
17,0.002454662322998047,9.453753343689776e-05,0.0,0.0,32,0.001,product,100.0,full,"{'batch_size': 32, 'learning_rate': 0.001, 'observable_type': 'product', 'temperature': 100.0, 'visible_qubits': 'full'}",,,,,,,,10,,,,,,,,10
18,61.58703804016113,8.792382674752142,4.151902294158935,0.25537543087022874,32,0.01,sum,1.0,single,"{'batch_size': 32, 'learning_rate': 0.01, 'observable_type': 'sum', 'temperature': 1.0, 'visible_qubits': 'single'}",0.9346603202077023,0.9316313284292514,0.9428571428571428,0.935064935064935,0.935930735930736,0.9360288924979535,0.003708784476458873,2,0.9860149901143429,0.9824482658029514,0.987735743996918,0.9822285294631087,0.9847688158773921,0.9846392690509426,0.002102841340122325,2
19,4.835264110565186,0.08755643390754603,0.0,0.0,32,0.01,sum,1.0,half,"{'batch_size': 32, 'learning_rate': 0.01, 'observable_type': 'sum', 'temperature': 1.0, 'visible_qubits': 'half'}",,,,,,,,10,,,,,,,,10
20,0.002661895751953125,0.00011760716541919076,0.0,0.0,32,0.01,sum,1.0,full,"{'batch_size': 32, 'learning_rate': 0.01, 'observable_type': 'sum', 'temperature': 1.0, 'visible_qubits': 'full'}",,,,,,,,10,,,,,,,,10
21,114.75624012947083,12.325672011766517,4.225881576538086,0.20863284910065008,32,0.01,sum,10.0,single,"{'batch_size': 32, 'learning_rate': 0.01, 'observable_type': 'sum', 'temperature': 10.0, 'visible_qubits': 'single'}",0.9346603202077023,0.9363911726525314,0.9402597402597402,0.9311688311688312,0.9311688311688312,0.9347297790915272,0.003426549980354534,3,0.9842957127070161,0.9831407116027151,0.9851224694954943,0.9801961498407806,0.982261637461399,0.983003336221481,0.0017094003179747223,3
22,5.201262903213501,0.40842580582579646,0.0,0.0,32,0.01,sum,10.0,half,"{'batch_size': 32, 'learning_rate': 0.01, 'observable_type': 'sum', 'temperature': 10.0, 'visible_qubits': 'half'}",,,,,,,,10,,,,,,,,10
23,0.002987194061279297,0.00037848684430133315,0.0,0.0,32,0.01,sum,10.0,full,"{'batch_size': 32, 'learning_rate': 0.01, 'observable_type': 'sum', 'temperature': 10.0, 'visible_qubits': 'full'}",,,,,,,,10,,,,,,,,10
24,227.4200126171112,33.84512255037194,3.3285234451293944,0.1695982612140501,32,0.01,sum,100.0,single,"{'batch_size': 32, 'learning_rate': 0.01, 'observable_type': 'sum', 'temperature': 100.0, 'visible_qubits': 'single'}",0.9078321073128516,0.9151882302033751,0.9134199134199135,0.9077922077922078,0.9194805194805195,0.9127425956417735,0.004482381976758158,8,0.960984355853587,0.9639371821591076,0.9581996472493274,0.9523613527326138,0.9671109659709974,0.9605187007931267,0.005045416660289216,9
25,46.71795864105225,1.9385463640380787,0.0,0.0,32,0.01,sum,100.0,half,"{'batch_size': 32, 'learning_rate': 0.01, 'observable_type': 'sum', 'temperature': 100.0, 'visible_qubits': 'half'}",,,,,,,,10,,,,,,,,10
26,0.002863168716430664,0.00014206922813655894,0.0,0.0,32,0.01,sum,100.0,full,"{'batch_size': 32, 'learning_rate': 0.01, 'observable_type': 'sum', 'temperature': 100.0, 'visible_qubits': 'full'}",,,,,,,,10,,,,,,,,10
27,0.18990020751953124,0.050320413519853655,0.0,0.0,32,0.01,product,1.0,single,"{'batch_size': 32, 'learning_rate': 0.01, 'observable_type': 'product', 'temperature': 1.0, 'visible_qubits': 'single'}",,,,,,,,10,,,,,,,,10
