,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_learning_rate,param_max_vmap,param_n_layers,param_observable_type,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
10,243.50360221862792,21.268094218885118,45.40734367370605,1.5188266294486656,32,0.001,4,15,half,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 4, 'n_layers': 15, 'observable_type': 'half'}",0.8550411077455647,0.8615318044136737,0.8554112554112554,0.8502164502164502,0.8653679653679653,0.8575137166309819,0.005322001271273302,23
11,244.56229400634766,15.805656581332046,41.41265292167664,2.848120001450604,32,0.001,4,15,full,"{'batch_size': 32, 'learning_rate': 0.001, 'max_vmap': 4, 'n_layers': 15, 'observable_type': 'full'}",0.8442232799653829,0.8598009519688447,0.8662337662337662,0.8471861471861472,0.8757575757575757,0.8586403442223434,0.011756334931847474,22
12,28.873585176467895,3.186425418383553,5.8962953090667725,2.304588871133388,32,0.01,4,1,single,"{'batch_size': 32, 'learning_rate': 0.01, 'max_vmap': 4, 'n_layers': 1, 'observable_type': 'single'}",0.8334054521852012,0.8636953699697101,0.861038961038961,0.8324675324675325,0.8666666666666667,0.8514547964656142,0.015227500572172484,28
13,32.036692428588864,2.714058896323428,5.3444053649902346,2.3921005338885863,32,0.01,4,1,half,"{'batch_size': 32, 'learning_rate': 0.01, 'max_vmap': 4, 'n_layers': 1, 'observable_type': 'half'}",0.8550411077455647,0.8727823453050627,0.8701298701298701,0.8393939393939394,0.8783549783549783,0.8631404481858832,0.014161893396070158,20
14,36.53216395378113,2.7083134332457255,4.357598447799683,0.8564075924323914,32,0.01,4,1,full,"{'batch_size': 32, 'learning_rate': 0.01, 'max_vmap': 4, 'n_layers': 1, 'observable_type': 'full'}",0.8463868455214193,0.8580700995240156,0.8541125541125542,0.8225108225108225,0.8679653679653679,0.849809137926836,0.015318757628802658,29
15,69.68423948287963,9.061849406830186,11.946896839141846,2.2028768928378217,32,0.01,4,5,single,"{'batch_size': 32, 'learning_rate': 0.01, 'max_vmap': 4, 'n_layers': 5, 'observable_type': 'single'}",0.8970142795326699,0.9065339679792298,0.8818181818181818,0.8601731601731601,0.912987012987013,0.8917053204980508,0.0189368260982492,7
16,69.27779126167297,7.90906960100557,11.479869651794434,3.0970048049933214,32,0.01,4,5,half,"{'batch_size': 32, 'learning_rate': 0.01, 'max_vmap': 4, 'n_layers': 5, 'observable_type': 'half'}",0.884465599307659,0.9052358286456079,0.9038961038961039,0.8666666666666667,0.9168831168831169,0.8954294630798308,0.017751691976555687,5
17,75.47101407051086,6.494390234241759,11.662896490097046,2.848867743199485,32,0.01,4,5,full,"{'batch_size': 32, 'learning_rate': 0.01, 'max_vmap': 4, 'n_layers': 5, 'observable_type': 'full'}",0.8468195586326266,0.8766767633059281,0.8679653679653679,0.8502164502164502,0.8904761904761904,0.8664308661193125,0.01632802126964593,14
18,133.87529501914977,10.223889748714441,25.870463800430297,3.131321456951518,32,0.01,4,10,single,"{'batch_size': 32, 'learning_rate': 0.01, 'max_vmap': 4, 'n_layers': 10, 'observable_type': 'single'}",0.8883600173085244,0.8952834270878408,0.9134199134199135,0.8913419913419913,0.8987012987012987,0.8974213295719137,0.008731888299715097,4
19,137.36776299476622,8.60992373981675,23.826871347427367,2.041567620158347,32,0.01,4,10,half,"{'batch_size': 32, 'learning_rate': 0.01, 'max_vmap': 4, 'n_layers': 10, 'observable_type': 'half'}",0.8952834270878408,0.8944180008654262,0.912987012987013,0.8865800865800866,0.9077922077922078,0.8994121470625149,0.00960366600620105,1
