,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_learning_rate,param_n_layers,param_repeats,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
10,31.385355138778685,2.4401825484468205,7.676375818252564,0.19380522271364622,32,0.001,15,5,"{'batch_size': 32, 'learning_rate': 0.001, 'n_layers': 15, 'repeats': 5}",0.7901341410644742,0.7581133708351363,0.7662337662337663,0.7649350649350649,0.7666666666666667,0.7692166019470217,0.010904643248315122,7,0.858799738387172,0.830680837370721,0.8511208562330321,0.8445270973916917,0.853814643366662,0.8477886345498558,0.009715711402452384,10
11,33.37209730148315,1.1215918840647856,8.406145906448364,0.14321751703497215,32,0.001,15,10,"{'batch_size': 32, 'learning_rate': 0.001, 'n_layers': 15, 'repeats': 10}",0.6871484205971441,0.6265685850281264,0.658008658008658,0.6619047619047619,0.6584415584415585,0.6584143967960497,0.019246547021585753,26,0.7473286172859924,0.6739362198022959,0.7232743208345622,0.7195752544801141,0.7276001817930088,0.7183429188391948,0.02418123209420998,23
12,4.460513639450073,0.33959571563441243,0.8703879356384278,0.032449655797701676,32,0.01,1,1,"{'batch_size': 32, 'learning_rate': 0.01, 'n_layers': 1, 'repeats': 1}",0.7533535266118564,0.7234963219385547,0.7043290043290044,0.7277056277056277,0.7341991341991342,0.7286167229568355,0.015874600137544742,16,0.7738229302140265,0.7364954273014612,0.7277566923303818,0.7647654147830222,0.7530918355676217,0.7511864600393027,0.017118462008050738,20
13,6.151996517181397,0.4666105237512373,1.262488842010498,0.030885564346790274,32,0.01,1,5,"{'batch_size': 32, 'learning_rate': 0.01, 'n_layers': 1, 'repeats': 5}",0.6819558632626569,0.6893119861531805,0.6701298701298701,0.677056277056277,0.6848484848484848,0.6806604962900937,0.006602272097114968,22,0.716642485021162,0.7221788660429392,0.6834461513456896,0.7059972129085076,0.7126692270185344,0.7081867884673667,0.013448142330970164,26
14,6.85546646118164,1.0306728927137216,1.8495237827301025,0.05502696128484566,32,0.01,1,10,"{'batch_size': 32, 'learning_rate': 0.01, 'n_layers': 1, 'repeats': 10}",0.5356988316745998,0.5815664214625703,0.5662337662337662,0.5484848484848485,0.5645021645021645,0.5592972064715898,0.015779200005332745,33,0.6368776358620069,0.5888713960489238,0.5856804897575891,0.5970109497179801,0.5860875676456601,0.5989056078064321,0.01941832099069849,32
15,10.731521511077881,0.9473218481991342,2.384837198257446,0.20055976413754228,32,0.01,5,1,"{'batch_size': 32, 'learning_rate': 0.01, 'n_layers': 5, 'repeats': 1}",0.7728256166161834,0.749459108610991,0.7480519480519481,0.7779220779220779,0.7961038961038961,0.7688725294610192,0.01816285260610916,8,0.8529570518940617,0.8434080062072016,0.855673958452472,0.8627477832690236,0.8894674427984084,0.8608508485242334,0.015594055235436263,6
16,13.30739107131958,0.9655523417068141,2.7927554130554197,0.1065178041606179,32,0.01,5,5,"{'batch_size': 32, 'learning_rate': 0.01, 'n_layers': 5, 'repeats': 5}",0.7710947641713544,0.7395067070532237,0.7692640692640693,0.7653679653679654,0.7554112554112554,0.7601289522535737,0.011650582069782875,12,0.8518241480668466,0.8135403603424787,0.8431997676420483,0.8450696170909507,0.8526084587925813,0.8412484703869811,0.014332078567415982,13
17,11.463312911987305,1.396374354665306,3.6807913303375246,0.2132150657323852,32,0.01,5,10,"{'batch_size': 32, 'learning_rate': 0.01, 'n_layers': 5, 'repeats': 10}",0.642146257031588,0.6140199048031155,0.6203463203463203,0.6121212121212121,0.606926406926407,0.6191120202457286,0.01229137722900158,28,0.6927703144616264,0.674873765852573,0.6793196908314924,0.6905613611601044,0.6777147053689134,0.6830479675349419,0.007212994096525545,28
18,17.059509992599487,0.29013113456747325,4.366735601425171,0.18270592174962563,32,0.01,10,1,"{'batch_size': 32, 'learning_rate': 0.01, 'n_layers': 10, 'repeats': 1}",0.7871051492860234,0.7654694937256599,0.7519480519480519,0.7974025974025974,0.7891774891774892,0.7782205563079645,0.016850965273056056,2,0.8721457514227077,0.8627611520613984,0.8642248514654804,0.8819609566405615,0.8908173461832498,0.8743820115546797,0.010684322802929016,2
19,20.94059615135193,0.7672420767876297,4.861997938156128,0.07429425106137322,32,0.01,10,5,"{'batch_size': 32, 'learning_rate': 0.01, 'n_layers': 10, 'repeats': 5}",0.7909995672868888,0.7793163132842925,0.7480519480519481,0.7653679653679654,0.7696969696969697,0.7706865527376129,0.014343523295559886,5,0.8679456627149097,0.8554104000697709,0.8496799058528922,0.8567311570342457,0.8567921058492803,0.8573118463042197,0.005925325214030564,7
20,20.30432810783386,0.9084678838523323,5.520456695556641,0.05566014226523931,32,0.01,10,10,"{'batch_size': 32, 'learning_rate': 0.01, 'n_layers': 10, 'repeats': 10}",0.7027260926006058,0.6313284292514063,0.6588744588744588,0.6731601731601732,0.6554112554112554,0.66430008185958,0.023454799148334114,24,0.7570639222378421,0.6782758475506515,0.7143261318420688,0.724623471764897,0.7165910199069365,0.7181760786604793,0.02515232076892617,24
21,24.617365169525147,0.726872942060382,6.786276531219483,0.20546567649720757,32,0.01,15,1,"{'batch_size': 32, 'learning_rate': 0.01, 'n_layers': 15, 'repeats': 1}",0.7931631328429252,0.7888360017308524,0.7632034632034632,0.7329004329004329,0.7883116883116883,0.7732829437978723,0.022783001578501938,4,0.881652521030514,0.8799189214386032,0.8686252054200803,0.858623580118346,0.8945111453561518,0.8766662746727389,0.012199011393886083,1
22,25.72721748352051,0.8841872632004252,7.366072034835815,0.1590003104428716,32,0.01,15,5,"{'batch_size': 32, 'learning_rate': 0.01, 'n_layers': 15, 'repeats': 5}",0.7823453050627434,0.7676330592816962,0.7502164502164502,0.7541125541125541,0.7714285714285715,0.765147188020403,0.01171409953945082,9,0.8606084753535157,0.8451011527230187,0.8475971117786218,0.8425594288569314,0.8604550543874117,0.8512642446198999,0.007732929776712682,8
23,28.028590440750122,1.3036327783795065,8.489010858535767,0.3566390478189398,32,0.01,15,10,"{'batch_size': 32, 'learning_rate': 0.01, 'n_layers': 15, 'repeats': 10}",0.685417568152315,0.6577239290350497,0.6614718614718614,0.6541125541125541,0.6463203463203463,0.6610092518184254,0.013191676494784973,25,0.7451815878695844,0.7047068270193705,0.7169273670713869,0.7195519283904096,0.7170846300632663,0.7206904680828035,0.01329474332006102,22
24,4.051598405838012,0.6619917511784247,0.9478498935699463,0.1297354610480092,32,0.1,1,1,"{'batch_size': 32, 'learning_rate': 0.1, 'n_layers': 1, 'repeats': 1}",0.75118996105582,0.7247944612721765,0.7043290043290044,0.7207792207792207,0.7398268398268398,0.7281838974526122,0.016125820970368587,17,0.7767765991835875,0.7335534724540398,0.7204857244331007,0.7694253655423993,0.7669550573972297,0.7534392438020714,0.02220019730788965,19
25,4.335223770141601,0.5948491512538955,1.3033854961395264,0.1094484349613807,32,0.1,1,5,"{'batch_size': 32, 'learning_rate': 0.1, 'n_layers': 1, 'repeats': 5}",0.6352228472522717,0.6979662483773258,0.6515151515151515,0.6805194805194805,0.6917748917748918,0.6713997238878242,0.024117463682759677,23,0.7142721825877117,0.7338293981961825,0.7164299946425239,0.7037564033878512,0.7052725992186512,0.7147121156065841,0.010749392940175996,25
26,5.043864631652832,0.2881440591354804,1.8514021396636964,0.18614863061091858,32,0.1,1,10,"{'batch_size': 32, 'learning_rate': 0.1, 'n_layers': 1, 'repeats': 10}",0.536131544785807,0.5815664214625703,0.5359307359307359,0.5432900432900433,0.5865800865800865,0.5566997664098488,0.022562841616050145,34,0.6366791709579691,0.5784268172755077,0.5792236776364501,0.6094001131691578,0.5866579281616634,0.5980775414401496,0.022317316773944842,33
27,9.814756870269775,0.4224055097284184,2.2910587787628174,0.15851822623488,32,0.1,5,1,"{'batch_size': 32, 'learning_rate': 0.1, 'n_layers': 5, 'repeats': 1}",0.7516226741670272,0.7005625270445694,0.6718614718614718,0.7528138528138528,0.7567099567099567,0.7267140965193756,0.034333951609127555,18,0.8513129505867496,0.8116126393537775,0.819342445055772,0.8523052196264213,0.8591638424540853,0.8387474194153611,0.019346245986056994,14
28,10.861103868484497,1.215986504760481,2.7918652534484862,0.08880162865519964,32,0.1,5,5,"{'batch_size': 32, 'learning_rate': 0.1, 'n_layers': 5, 'repeats': 5}",0.7602769363911727,0.7481609692773691,0.729004329004329,0.7541125541125541,0.7558441558441559,0.7494797889259162,0.010950158146775047,13,0.8410318671487961,0.8292245208515654,0.8114085647381759,0.8313170060738128,0.8379814956387737,0.8301926908902247,0.010326645675409647,15
29,10.858237171173096,0.9450756711235541,3.396022319793701,0.15060098929086882,32,0.1,5,10,"{'batch_size': 32, 'learning_rate': 0.1, 'n_layers': 5, 'repeats': 10}",0.6192124621376027,0.6027693639117265,0.5805194805194805,0.5774891774891775,0.5865800865800865,0.5933141141276147,0.015617967690542927,30,0.6637906796671202,0.6416829816219922,0.6223137374114363,0.6564796867381398,0.6604398548063783,0.6489413880490134,0.015305282674900032,31
30,17.35687098503113,1.7934361739764104,4.425270700454712,0.15736519163708468,32,0.1,10,1,"{'batch_size': 32, 'learning_rate': 0.1, 'n_layers': 10, 'repeats': 1}",0.7944612721765469,0.7732583297273907,0.7506493506493507,0.7480519480519481,0.8034632034632034,0.773976820813688,0.02238680696666016,3,0.8828530833477422,0.8716930262212157,0.8536295395580382,0.8453909151652691,0.8862710160543694,0.8679675160693268,0.016035947927165856,4
31,17.73594903945923,0.9194175080566014,4.834375810623169,0.17472109071172254,32,0.1,10,5,"{'batch_size': 32, 'learning_rate': 0.1, 'n_layers': 10, 'repeats': 5}",0.7347468628299437,0.723929035049762,0.6744588744588744,0.7337662337662337,0.7476190476190476,0.7229040107447722,0.025365551390659907,20,0.810662978026026,0.7961848567140928,0.8213989032223112,0.8231882400390073,0.8102181817087338,0.8123306319420344,0.009675234063143972,16
32,17.403628826141357,0.7908992269056422,5.625773334503174,0.2446830950522735,32,0.1,10,10,"{'batch_size': 32, 'learning_rate': 0.1, 'n_layers': 10, 'repeats': 10}",0.5378623972306361,0.5599307659022068,0.5753246753246753,0.5125541125541125,0.5489177489177489,0.546917939985876,0.021180892224140692,35,0.541294983498846,0.5865203884312682,0.5819392859507714,0.5115840371291152,0.5970515822613365,0.5636780554542675,0.03219883743877612,36
33,23.57831792831421,1.2599126281015445,6.4171600341796875,0.3384195896703193,32,0.1,15,1,"{'batch_size': 32, 'learning_rate': 0.1, 'n_layers': 15, 'repeats': 1}",0.7598442232799654,0.6598874945910861,0.7406926406926407,0.7614718614718615,0.7350649350649351,0.7313922310200979,0.03722153607397407,15,0.8531239428360936,0.8265201478420652,0.8255592241893055,0.8570268716553398,0.868836645136435,0.8462133663318478,0.017267988597419015,11
34,25.334095859527586,1.3675604877180505,7.121154117584228,0.12236310773008037,32,0.1,15,5,"{'batch_size': 32, 'learning_rate': 0.1, 'n_layers': 15, 'repeats': 5}",0.7529208135006491,0.7265253137170056,0.7268398268398268,0.7341991341991342,0.7411255411255411,0.7363221258764313,0.009889265352595976,14,0.8034017185256463,0.8150410354959295,0.800051768870054,0.8132618601879331,0.8005920312057933,0.8064696828570712,0.0063992276560684205,17
35,25.481483268737794,0.8342474292638373,7.979846382141114,0.12643054015027969,32,0.1,15,10,"{'batch_size': 32, 'learning_rate': 0.1, 'n_layers': 15, 'repeats': 10}",0.5348334054521852,0.5118996105581999,0.5796536796536796,0.5891774891774891,0.5878787878787879,0.5606885945440683,0.03149429772380627,32,0.5672728366197819,0.5253889274834068,0.6132782636961769,0.639322971533141,0.6092578992674103,0.5909041797199833,0.04008123428235949,34
